tf_bnum	gene_bnum	cset_type	cset_id	n
b0020	b0019	positive	positive_2_1,positive_2_3	2
b0020	b0020	positive	positive_2_1,positive_2_3	2
b0020	b1021	positive	positive_2_1,positive_2_3	2
b0020	b1022	positive	positive_2_1,positive_2_3	2
b0020	b1023	positive	positive_2_1,positive_2_3	2
b0020	b1024	positive	positive_2_1,positive_2_3	2
b0020	b1482	positive	positive_2_1,positive_2_3	2
b0034	b0035	positive	positive_2_1,positive_2_3	2
b0034	b0036	positive	positive_2_1,positive_2_3	2
b0034	b0037	positive	positive_2_1,positive_2_3	2
b0034	b0038	positive	positive_2_1,positive_2_3	2
b0034	b0039	positive	positive_2_1,positive_2_3	2
b0034	b0040	positive	positive_2_1,positive_2_3	2
b0034	b0041	positive	positive_2_1,positive_2_3	2
b0034	b0042	positive	positive_2_1,positive_2_3	2
b0034	b0043	positive	positive_2_1,positive_2_3	2
b0034	b0044	positive	positive_2_1,positive_2_3	2
b0064	b0061	positive	positive_2_1,positive_2_3	2
b0064	b0062	positive	positive_2_1,positive_2_3	2
b0064	b0063	positive	positive_2_1,positive_2_3	2
b0064	b0064	positive	positive_2_1,positive_2_3	2
b0064	b0396	positive	positive_2_1,positive_2_3	2
b0064	b1900	positive	positive_2_1,positive_2_3	2
b0064	b1901	positive	positive_2_1,positive_2_3	2
b0064	b2840	positive	positive_2_1,positive_2_3	2
b0064	b2841	positive	positive_2_1,positive_2_3	2
b0064	b3564	positive	positive_2_2,positive_2_3	2
b0064	b3565	positive	positive_2_2,positive_2_3	2
b0064	b4460	positive	positive_2_1,positive_2_3	2
b0069	b0070	positive	positive_2_1,positive_2_3	2
b0069	b2379	positive	positive_2_1,positive_2_3	2
b0069	b4577	positive	positive_2_1,positive_2_3	2
b0069	b4662	positive	positive_2_1,positive_2_3	2
b0069	b4762	positive	positive_2_1,positive_2_3	2
b0076	b0071	positive	positive_2_2,positive_2_3	2
b0076	b0072	positive	positive_2_2,positive_2_3	2
b0076	b0073	positive	positive_2_2,positive_2_3	2
b0076	b0074	positive	positive_2_2,positive_2_3	2
b0076	b0075	positive	positive_2_2,positive_2_3	2
b0076	b0076	positive	positive_2_1,positive_2_3	2
b0076	b1954	positive	positive_2_2,positive_2_3	2
b0076	b2754	positive	positive_2_1,positive_2_3	2
b0076	b2755	positive	positive_2_1,positive_2_3	2
b0076	b3721	positive	positive_2_1,positive_2_3	2
b0076	b3722	positive	positive_2_1,positive_2_3	2
b0076	b3723	positive	positive_2_1,positive_2_3	2
b0076	b4133	positive	positive_2_2,positive_2_3	2
b0076	b4365	positive	positive_2_1,positive_2_3	2
b0076	b4366	positive	positive_2_1,positive_2_3	2
b0080	b0070	positive	positive_2_2,positive_2_3	2
b0080	b0112	positive	positive_2_2,positive_2_3	2
b0080	b0113	positive	positive_2_2,positive_2_3	2
b0080	b0114	positive	positive_2_2,positive_2_3	2
b0080	b0115	positive	positive_2_2,positive_2_3	2
b0080	b0116	positive	positive_2_2,positive_2_3	2
b0080	b0118	positive	positive_2_2,positive_2_3	2
b0080	b0311	positive	positive_2_2,positive_2_3	2
b0080	b0312	positive	positive_2_2,positive_2_3	2
b0080	b0313	positive	positive_2_2,positive_2_3	2
b0080	b0314	positive	positive_2_2,positive_2_3	2
b0080	b0315	positive	positive_2_1,positive_2_3	2
b0080	b0331	positive	positive_2_2,positive_2_3	2
b0080	b0333	positive	positive_2_2,positive_2_3	2
b0080	b0334	positive	positive_2_2,positive_2_3	2
b0080	b0335	positive	positive_2_2,positive_2_3	2
b0080	b0428	positive	positive_2_2,positive_2_3	2
b0080	b0429	positive	positive_2_2,positive_2_3	2
b0080	b0430	positive	positive_2_2,positive_2_3	2
b0080	b0431	positive	positive_2_2,positive_2_3	2
b0080	b0432	positive	positive_2_2,positive_2_3	2
b0080	b0733	positive	positive_2_1,positive_2_3	2
b0080	b0734	positive	positive_2_1,positive_2_3	2
b0080	b0871	positive	positive_2_2,positive_2_3	2
b0080	b1037	positive	positive_2_1,positive_2_3	2
b0080	b1038	positive	positive_2_1,positive_2_3	2
b0080	b1039	positive	positive_2_1,positive_2_3	2
b0080	b1040	positive	positive_2_1,positive_2_3	2
b0080	b1136	positive	positive_2_1,positive_2_3	2
b0080	b1241	positive	positive_2_1,positive_2_3	2
b0080	b1276	positive	positive_2_2,positive_2_3	2
b0080	b1530	positive	positive_2_2,positive_2_3	2
b0080	b1531	positive	positive_2_2,positive_2_3	2
b0080	b1532	positive	positive_2_2,positive_2_3	2
b0080	b1676	positive	positive_2_1,positive_2_3	2
b0080	b1702	positive	positive_2_1,positive_2_3	2
b0080	b1779	positive	positive_2_1,positive_2_3	2
b0080	b1780	positive	positive_2_1,positive_2_3	2
b0080	b1817	positive	positive_2_2,positive_2_3	2
b0080	b1818	positive	positive_2_2,positive_2_3	2
b0080	b1819	positive	positive_2_2,positive_2_3	2
b0080	b1850	positive	positive_2_1,positive_2_3	2
b0080	b1851	positive	positive_2_1,positive_2_3	2
b0080	b2097	positive	positive_2_2,positive_2_3	2
b0080	b2167	positive	positive_2_2,positive_2_3	2
b0080	b2168	positive	positive_2_2,positive_2_3	2
b0080	b2169	positive	positive_2_2,positive_2_3	2
b0080	b2388	positive	positive_2_2,positive_2_3	2
b0080	b2415	positive	positive_2_1,positive_2_3	2
b0080	b2416	positive	positive_2_1,positive_2_3	2
b0080	b2417	positive	positive_2_1,positive_2_3	2
b0080	b2712	positive	positive_2_1,positive_2_3	2
b0080	b2779	positive	positive_2_1,positive_2_3	2
b0080	b2925	positive	positive_2_1,positive_2_3	2
b0080	b2926	positive	positive_2_1,positive_2_3	2
b0080	b2980	positive	positive_2_2,positive_2_3	2
b0080	b3357	positive	positive_2_1,positive_2_3	2
b0080	b3365	positive	positive_2_2,positive_2_3	2
b0080	b3366	positive	positive_2_2,positive_2_3	2
b0080	b3367	positive	positive_2_2,positive_2_3	2
b0080	b3368	positive	positive_2_2,positive_2_3	2
b0080	b3403	positive	positive_2_1,positive_2_3	2
b0080	b3599	positive	positive_2_1,positive_2_3	2
b0080	b3600	positive	positive_2_1,positive_2_3	2
b0080	b3601	positive	positive_2_1,positive_2_3	2
b0080	b3612	positive	positive_2_2,positive_2_3	2
b0080	b3613	positive	positive_2_2,positive_2_3	2
b0080	b3614	positive	positive_2_2,positive_2_3	2
b0080	b3916	positive	positive_2_1,positive_2_3	2
b0080	b3919	positive	positive_2_2,positive_2_3	2
b0080	b3956	positive	positive_2_2,positive_2_3	2
b0080	b4014	positive	positive_2_1,positive_2_3	2
b0080	b4015	positive	positive_2_1,positive_2_3	2
b0080	b4016	positive	positive_2_1,positive_2_3	2
b0080	b4577	positive	positive_2_2,positive_2_3	2
b0080	b4662	positive	positive_2_2,positive_2_3	2
b0081	b0081	positive	positive_2_1,positive_2_3	2
b0081	b0083	positive	positive_2_1,positive_2_3	2
b0081	b0084	positive	positive_2_1,positive_2_3	2
b0081	b0086	positive	positive_2_1,positive_2_3	2
b0081	b0087	positive	positive_2_1,positive_2_3	2
b0081	b0089	positive	positive_2_1,positive_2_3	2
b0081	b0090	positive	positive_2_1,positive_2_3	2
b0081	b0091	positive	positive_2_1,positive_2_3	2
b0081	b0092	positive	positive_2_1,positive_2_3	2
b0081	b0095	positive	positive_2_1,positive_2_3	2
b0081	b0096	positive	positive_2_1,positive_2_3	2
b0113	b0081	positive	positive_2_1,positive_2_3	2
b0113	b0083	positive	positive_2_1,positive_2_3	2
b0113	b0084	positive	positive_2_1,positive_2_3	2
b0113	b0086	positive	positive_2_1,positive_2_3	2
b0113	b0087	positive	positive_2_1,positive_2_3	2
b0113	b0089	positive	positive_2_1,positive_2_3	2
b0113	b0090	positive	positive_2_1,positive_2_3	2
b0113	b0091	positive	positive_2_1,positive_2_3	2
b0113	b0092	positive	positive_2_1,positive_2_3	2
b0113	b0095	positive	positive_2_1,positive_2_3	2
b0113	b0096	positive	positive_2_1,positive_2_3	2
b0113	b0113	positive	positive_2_1,positive_2_3	2
b0113	b0114	positive	positive_2_1,positive_2_3	2
b0113	b0115	positive	positive_2_1,positive_2_3	2
b0113	b0116	positive	positive_2_1,positive_2_3	2
b0113	b0428	positive	positive_2_1,positive_2_3	2
b0113	b0429	positive	positive_2_1,positive_2_3	2
b0113	b0430	positive	positive_2_1,positive_2_3	2
b0113	b0431	positive	positive_2_1,positive_2_3	2
b0113	b0432	positive	positive_2_1,positive_2_3	2
b0113	b1109	positive	positive_2_1,positive_2_3	2
b0113	b2579	positive	positive_2_2,positive_2_3	2
b0113	b2975	positive	positive_2_1,positive_2_3	2
b0113	b2976	positive	positive_2_1,positive_2_3	2
b0113	b2977	positive	positive_2_1,positive_2_3	2
b0113	b2979	positive	positive_2_1,positive_2_3	2
b0113	b4287	positive	positive_2_2,positive_2_3	2
b0113	b4288	positive	positive_2_2,positive_2_3	2
b0113	b4289	positive	positive_2_2,positive_2_3	2
b0113	b4290	positive	positive_2_2,positive_2_3	2
b0113	b4291	positive	positive_2_2,positive_2_3	2
b0113	b4467	positive	positive_2_1,positive_2_3	2
b0113	b4468	positive	positive_2_1,positive_2_3	2
b0162	b0162	positive	positive_2_2,positive_2_3	2
b0162	b2787	positive	positive_2_2,positive_2_3	2
b0162	b2788	positive	positive_2_2,positive_2_3	2
b0162	b2789	positive	positive_2_2,positive_2_3	2
b0162	b3123	positive	positive_2_2,positive_2_3	2
b0162	b3124	positive	positive_2_2,positive_2_3	2
b0162	b3125	positive	positive_2_2,positive_2_3	2
b0162	b3126	positive	positive_2_2,positive_2_3	2
b0162	b3127	positive	positive_2_2,positive_2_3	2
b0162	b3128	positive	positive_2_2,positive_2_3	2
b0225	b0623	positive	positive_2_1,positive_2_3	2
b0226	b0623	positive	positive_2_1,positive_2_3	2
b0294	b0293	positive	positive_2_1,positive_2_3	2
b0294	b0294	positive	positive_2_1,positive_2_3	2
b0294	b1891	positive	positive_2_1,positive_2_3	2
b0294	b1892	positive	positive_2_1,positive_2_3	2
b0294	b1920	positive	positive_2_1,positive_2_3	2
b0294	b1921	positive	positive_2_1,positive_2_3	2
b0294	b1922	positive	positive_2_1,positive_2_3	2
b0294	b1923	positive	positive_2_1,positive_2_3	2
b0305	b0301	positive	positive_2_1,positive_2_3	2
b0305	b0303	positive	positive_2_1,positive_2_3	2
b0305	b0304	positive	positive_2_1,positive_2_3	2
b0313	b0311	positive	positive_2_1,positive_2_3	2
b0313	b0312	positive	positive_2_1,positive_2_3	2
